Name,Rank,Global Score from US News,Image,Description,City,Country,Country Code
Harvard University,1,100.0,https://www.usnews.com/object/image/0000014e-d02b-d0b6-afdf-d03b72820000/$150727harvard?size=responsive640&update-time=1444057405951,"Founded in 1636, Harvard University is the oldest higher education institution in the U.S. The bulk of Harvard's students study at the graduate level and more than 20 percent of the student body is international. Harvard is located in Cambridge, Massachusetts, but also has facilities such as the Harvard Medical School based in the nearby city of Boston. The university has the largest endowment of any school in the world. Harvard research takes place across a range of disciplines in more than 100 centers.

 The university is made up of the undergraduate college, as well as 11 other degree-granting institutions including the highly ranked Business School, Graduate School of Education, Law School and the John F. Kennedy School of Government. The medical school is affiliated with several teaching hospitals, including Beth Israel Deaconess Medical Center and Brigham and Women’s Hospital. For Harvard undergraduates, the most popular majors include social sciences, biology/biological sciences, history, math and psychology. The university’s academic calendar is semester-based and English is the language of instruction. Most undergraduate students live on campus for all four years, first residing around the Harvard Yard at the center of campus as freshmen and then in one of 12 undergraduate houses for the duration of their studies. Some university housing is available for graduate students. The Harvard Library is the largest academic library in the world, boasting around 19 million volumes at its more than 70 libraries.",Cambridge (U.S.),United States,USA
Massachusetts Institute of Technology (MIT),2,97.2,https://www.usnews.com/object/image/0000014e-d05f-d0b6-afdf-d05f34b90000/$150727MIT?size=responsive640&update-time=1535646171759,"Massachusetts Institute of Technology, founded in 1861, is located in Cambridge, Massachusetts, near Boston. Around 11,000 students attend the university, with roughly 60 percent of them studying at the graduate level. MIT contains five schools: architecture and planning; engineering; humanities, arts, and social sciences; management; and science. English is the language of instruction at MIT. The academic calendar is a 4-1-4 system with a four-week ""Independent Activities Period"" in January. During this period, undergraduate and graduate students, faculty, staff and alumni participate in forums, lecture series, recitals and other special activities. 

 First-year undergraduate students are the only ones required to live on campus but many students further along in their studies choose to reside on campus as well. There are many opportunities for both undergraduate and graduate students to gain research experience at one of MIT’s many labs or centers, including the MIT Nuclear Reactor Laboratory, one of the largest university research reactors in the U.S. Nearly 90 percent of MIT undergraduates participate in the school’s Undergraduate Research Opportunities Program, which partners students and faculty for research projects, by the time they graduate. More than $675 million was spent on research at MIT in a recent year, with additional federal funding going to MIT’s Lincoln Laboratory, a Department of Defense research and development lab focused on technological solutions to national security issues.",Cambridge (U.S.),United States,USA
Stanford University,3,94.5,https://www.usnews.com/object/image/0000016c-9bb2-d1ec-a97f-9bba269e0000/$190816stanford_university0?size=responsive640&update-time=,"Stanford University was founded in 1885 and is located in California’s Bay Area, around 30 miles south of San Francisco. More than half of the student body studies at the graduate level. Seven schools comprise the university, many of which are highly ranked for graduate-level studies. Three of the schools offer both undergraduate and graduate degrees: humanities and sciences; earth sciences; and engineering. The business, law, education and medical schools offer only graduate-level degrees. Stanford’s academic calendar is based on a quarter system and the language of instruction is English.

Around 8 percent of the undergraduate student body is international, as is around 30 percent of the graduate student population. Housing is guaranteed for four years for undergraduates who enter as freshmen, and more than 90 percent of undergrads live on campus. Stanford also guarantees first-year housing for new graduate students. More than 60 percent of graduate students live on campus, as well as around 30 percent of faculty members. Stanford’s library system, which supports 20 libraries, comprises more than 9.3 million physical volumes. Research funding at Stanford has topped $1 billion, including funds from the federal government for projects at the SLAC National Accelerator Laboratory, a U.S. Department of Energy lab operated by Stanford. Scientists from all over the world – around 3,400 of them annually – take advantage of SLAC’s facilities. Upward of 1,000 scientific papers based on research conducted at the lab are published each year.",Stanford,United States,USA
University of Oxford,4,88.3,https://www.usnews.com/object/image/0000014e-d0b5-d0b6-afdf-d0b7fab40000/$150727Oxford?size=responsive640&update-time=1438090160344,"The exact date of the University of Oxford’s founding is unknown, but the school traces its roots back to at least 1096. Oxford is located around 60 miles northwest of London, and around 45 percent of its student body is made up of graduate students. More than half of Oxford’s graduate students conduct research as part of their studies. Research at Oxford takes place in all four of its academic divisions: humanities; mathematical, physical and life sciences; medical sciences; and social sciences. Oxford’s academic calendar is divided into three terms – Michaelmas (fall), Hilary (spring) and Trinity (summer) – each eight weeks long. The language of instruction at the university is English.

 The University of Oxford is made up of a central university; 38 colleges; and six Permanent Private Halls, which tend to be smaller than colleges and offer fewer subjects. The colleges at Oxford are each equipped with a dining hall, common room and library. Undergraduates are guaranteed college housing for their freshman year and can often continue to live there during the later years of their studies. Graduate students are not guaranteed housing but some colleges may have space for them during their first year, especially for international students. Tuition costs are higher for non-European Union students. The university and its academic departments and colleges, as well as dozens of external organizations, have made more than 900 scholarships available for graduate students.",Oxford,United Kingdom,GBR
University of Cambridge,5,86.8,https://www.usnews.com/object/image/0000014e-d0dd-d0b6-afdf-d0dfa5e00000/$150727Cambridge?size=responsive640&update-time=1475263504175,"The University of Cambridge, located around 60 miles north of London, traces its history back to 1209. Around 19,000 students attend the university and more than 35 percent of them study at the graduate level. There are six schools: arts and humanities; biological sciences; clinical medicine; humanities and social sciences; physical sciences; and technology. Dozens of academic departments and other divisions constitute these schools. The academic calendar at Cambridge is divided into three terms – Michaelmas (fall), Lent (winter) and Easter (spring). English is the language of instruction at the university.

 Cambridge contains 31 residential colleges, which are responsible for admitting undergraduate and graduate students; three colleges – Lucy Cavendish College, Murray Edwards College and Newnham College – are women-only. Some small-group instruction for undergraduates also takes place at the colleges. Most undergraduate students at the University of Cambridge are guaranteed college housing for at least three years. Many new graduate students can also utilize college housing. Around 20 percent of the student body is from outside of the European Union; tuition costs are higher for non-EU students and vary depending on the field of study. Cambridge has more than 100 libraries, including college and department libraries. The university has around 140 centers and institutes that contribute to different areas of research, such as the Centre of African Studies; the Cambridge Centre for Economic and Public Policy; and the Institute of Theoretical Geophysics. In a recent year, the university received around $415 million in research grants and contracts.",Cambridge (U.K.),United Kingdom,GBR
University of California Berkeley,6,86.4,https://www.usnews.com/object/image/0000014e-d06d-d8a0-adee-fffdae2b0000/$150727Berkeley?size=responsive640&update-time=1558448629952,"The University of California—Berkeley is situated roughly 15 miles from San Francisco in what is known as the Bay Area. The public university, also commonly known as Berkeley or Cal, was founded in 1868. More than 70 percent of Berkeley students study at the undergraduate level. The university is divided into 14 colleges and schools, including the highly ranked Haas School of Business, College of Chemistry, College of Engineering, School of Public Health and School of Law. The academic calendar is semester-based and English is the language of instruction.

 UC—Berkeley offers students around 350 degree programs. Some of the most popular majors for Berkeley undergraduates have included electrical engineering and computer science; economics; political science; business administration; and psychology. Around a quarter of undergraduate students live on campus, including some 95 percent of freshmen. Many graduate students live off campus, but they have the option to live in university-owned accommodations. Roughly 15 percent of the student body is international, and tuition and fees are higher for out-of-state students. Around 3,000 international scholars come to Berkeley each year in temporary teaching or research positions. Berkeley research is conducted not just within academic department labs and research centers but also in some of the school’s museums and university-managed biological field stations. Research in botany, zoology, ecosystems and forestry is undertaken at the remote field station sites. Berkeley researchers discovered several of the elements on the periodic table, including californium and berkelium.",Berkeley,United States,USA
University College London,7,86.2,https://www.usnews.com/object/image/00000157-8cae-dca0-ad7f-ccbf42550000/$161003_UCL?size=responsive640&update-time=1475534101225,"University College London, or UCL, is a public institution that was founded in 1826. It was the third university established in England, following the University of Oxford and the University of Cambridge. UCL is based in central London, though it also has branch campuses in Qatar and Australia. Additionally, UCL has exchange and research agreements as well as other types of partnerships with universities around the world, such as the University of Montreal in Canada and Zhejiang University in China. UCL students hail from around 150 countries, and tuition costs are higher for students from outside the U.K. and European Union. University housing is guaranteed for first-year undergraduates. The UCL academic calendar has three terms, and the language of instruction is English.

UCL has 11 academic divisions: arts and humanities; brain sciences; engineering; education; laws; life sciences; mathematical and physical sciences; medical sciences; population health sciences; social and historical sciences; and the Bartlett, a division focused on architecture and planning. The university is affiliated with several hospitals and medical centers, such as the University College Hospital and the Royal National Throat, Nose and Ear Hospital. Research takes place across the academic disciplines at UCL, but the main multidisciplinary research domains are neuroscience, personalized medicine, populations and lifelong health, the environment and eResearch. The university has been associated with research accomplishments throughout its history. One example is that a UCL professor won the Nobel Prize in chemistry in 1904 for his discovery of noble gases, including neon gas.",London (U.K.),United Kingdom,GBR
University of Washington Seattle,8,86.1,https://www.usnews.com/object/image/00000155-82e0-d393-a9f5-fae850c30000/$160624_university_of_washington?size=responsive640&update-time=1466789774392,"The University of Washington is a public institution that was founded in 1861. The school's oldest and largest campus in terms of enrollment is located in Seattle – the largest city in Washington. In 1990, the university added two smaller campuses in Bothell and Tacoma, Washington. Around 70 percent of the university's students – across all three campuses – study at the undergraduate level. Still, the large university offers more than 370 graduate-level programs. Tuition costs are higher for non-Washington-state residents, and university housing is available for both undergraduate and graduate students. UW utilizes a quarter-based academic calendar, and English is the language of instruction. 

The university has 16 colleges and schools that offer studies in a range of subjects, such as arts and sciences, engineering and social work. Its highly ranked graduate schools include the School of Medicine, School of Nursing and the College of Education. The University of Washington Medical Center, a teaching hospital, is highly ranked in several specialties. The university offers a community-based medical education program that allows students to complete clinical rotations in different states throughout the region - Alaska, Idaho, Montana, Washington and Wyoming. One goal of the program is to increase the number of primary care physicians, particularly in rural areas. Research awards received by UW have topped $1 billion in recent years, and the school has more than 280 specialized research centers. Among these research centers are the West Coast Poverty Center, the Polar Science Center and the Center for Emerging and Re-emerging Infectious Diseases.",Seattle,United States,USA
Yale University,9,86.0,https://www.usnews.com/object/image/00000148-c6fa-d81c-a5f8-f6fb25e40000/$140930_Yale?size=responsive640&update-time=1412088338375,"Yale University was founded in 1701, making it one of the oldest institutions of higher education in the U.S. The private university is located in New Haven, Connecticut, around 80 miles northeast of New York City. Roughly 45 percent of Yale students study at the undergraduate level. Around 20 percent of the total student body is international, with students hailing from more than 110 countries. The university uses a semester-based academic calendar, and the primary language of instruction is English. More than 80 percent of undergraduates live in university housing, and accommodations are available for graduate students as well.

The university comprises the undergraduate college, the Graduate School of Arts and Sciences and numerous professional schools. Economics, political science and history are among the most popular majors for undergraduates. Among Yale's highly ranked schools for graduate-level studies are the Law School and the School of Management. The medical school is affiliated with the Yale-New Haven Hospital, which is highly ranked in several specialties. The university has many research centers and institutes, among them the Yale Center for Emotional Intelligence, the Yale Cancer Center and the Yale Program in Sleep. Undergraduates have lots of opportunities to get involved with research at the university. For example, students can apply for a Yale College Freshman Summer Research Fellowship in the Sciences & Engineering. One of the major research innovations associated with Yale is chemotherapy treatment, which was developed at the university in the early 1940s.",New Haven,United States,USA
Columbia University,10,85.8,https://www.usnews.com/object/image/0000014e-d115-d0b6-afdf-d1177b780000/$150727Columbia?size=responsive640&update-time=1476994392682,"Columbia University is a private institution that was founded in 1754. It is located in the Upper West Side of New York City’s Manhattan borough. Originally called King’s College, the school received its current name in 1896. Around 30 percent of students at Columbia study at the undergraduate level and almost 30 percent of the total student body is international. More than 90 percent of undergraduate students live on campus, and there is some university housing available for graduate students as well. Columbia’s academic calendar is semester-based and the language of instruction is English.

 The university is made up of three schools that enroll undergraduates – Columbia College, the Fu Foundation School of Engineering and Applied Science, and the School of General Studies – and numerous graduate and professional schools. Among Columbia University’s highly ranked graduate programs are the Business School, the Law School, and the College of Physicians and Surgeons. Additionally, Columbia is affiliated with Barnard College for women, the Union Theological Seminary and the Jewish Theological Seminary. The highly regarded New York-Presbyterian University Hospital of Columbia and Cornell is a university teaching hospital. Columbia students and faculty conduct research across the sciences, humanities and social sciences disciplines at more than 200 university centers and institutes. Columbia has also established global centers in Amman, Jordan; Beijing; Mumbai, India; Paris; Istanbul; Nairobi, Kenya; Santiago, Chile; and Rio de Janeiro to facilitate study abroad and research opportunities for students.",New York City,United States,USA
Imperial College London,11,85.2,https://www.usnews.com/object/image/00000152-12d6-dafd-add2-b3f6ec120000/$160105_ImperialCollegeLondon?size=responsive640&update-time=1467838338695,"Imperial College London is a public institution that was founded in 1907. The university was previously a college of the University of London and became an independent institution in 2007. The science-focused university is made up of multiple campuses located in and around London. The main campus is situated in South Kensington, an area in Central London that is home to other cultural and educational institutions, such as the Natural History Museum. Upward of 15,000 students attend Imperial, and tuition costs are higher for non-European Union students. Housing is guaranteed for first-year undergraduates, and a limited number of rooms are available for returning undergrads. On-campus graduate student housing is available for those studying at the Silwood Park campus, located around 25 miles west of Central London.

The university comprises four academic divisions focused on engineering, medicine, natural sciences and business. Imperial's academic calendar contains three terms – autumn, spring and summer – and the primary language of instruction is English. Among the university’s research centers and groups are the Data Science Institute, the Institute of Global Health Innovation and the Centre for Hedge Fund Research. The university’s Undergraduate Research Opportunities Programme each year provides around 400 students with hands-on research opportunities. The university's International Research Opportunities Programme sends Imperial undergraduates to partner universities in different countries – such as the Massachusetts Institute of Technology in the U.S. and Seoul National University in South Korea – to conduct research for a minimum of eight weeks during the summer break. Imperial also has a history of research pioneers, including Alexander Fleming, who in 1945 discovered penicillin, an antibiotic that is now commonly used to treat bacterial infections.",London (U.K.),United Kingdom,GBR
Tsinghua University,11,85.2,N/A,"Tsinghua University, located in northwest Beijing, China, is a public institution that traces its roots back to 1911. The primary language of instruction is Chinese, though there are some graduate degree programs offered in English. For instance, the university has English-taught master's programs in Chinese politics, foreign policy and international relations; mechanical engineering; and global business journalism, among others. Tuition costs vary by degree program and language of instruction. The university's international students hail from more than 100 countries, with the bulk of them coming from Asia. In a recent year, 41 percent of the university's non-Chinese students were undergraduates, 29 percent were pursuing master's degrees, 9 percent were doctoral students and the rest were participating in shorter-term programs. Tsinghua University housing is available for both undergraduate and graduate students.

The university comprises numerous schools and departments, which offer programs across a variety of disciplines: science, engineering, literature, arts, history, philosophy, economics, management, law, education and medicine. In all, there are more than 70 degree programs available to undergraduate students at Tsinghua University, as well as many more master's and doctoral programs. The university has more than 300 research institutions. Among the university's research labs are the Tsinghua National Laboratory for Information Science and Technology, the State Key Laboratory of Precision Measuring Technology and Instruments and the National Engineering Laboratory for Digital Television. Students at Tsinghua have around 200 student groups that they can get involved in, such as the Zijing Volunteer Service and the Students' Performing Arts Club.",Beijing,China,CHN
University of California Los Angeles,13,84.9,https://www.usnews.com/object/image/0000014e-d0f0-d8a0-adee-fff068d40000/$150727UCLA?size=responsive640&update-time=1438024763242,"The University of California—Los Angeles, commonly referred to as UCLA, is a public institution that was founded in 1919. It is one of the most applied-to universities in the U.S. Around 70 percent of the university's student body studies at the undergraduate level, and roughly 12 percent of undergraduates and more than 20 percent of graduate students at UCLA are international. Students who are not California residents must pay a supplemental tuition. UCLA guarantees three years of housing to freshman undergraduates, and some university housing is available for graduate students as well.

 Undergraduate studies take place across five academic divisions at UCLA: letters and science; arts and architecture; engineering and applied science; nursing; and theater, film and television. Some of the most popular majors for undergraduate students are political science, business economics and biology. Among the university’s highly ranked graduate schools are the Anderson School of Management, the David Geffen School of Medicine and the Henry Samueli School of Engineering and Applied Science. The Ronald Reagan UCLA Medical Center, the university’s primary teaching hospital, is a highly regarded medical facility. Most of the university’s schools use a quarter-based academic calendar, and English is the language of instruction. Since 2009-2010, the university has received an average of $1 billion for research each year. UCLA has more than 350 research labs, centers and institutes, and nearly 300 of these facilities are dedicated to medical research. Undergraduates can assist faculty with research at UCLA – and earn academic credit – by participating in the Student Research Program.
",Los Angeles,United States,USA
Johns Hopkins University,14,84.4,https://www.usnews.com/object/image/00000155-82e7-d393-a9f5-faefdefc0000/$160624_johns_hopkins_university?size=responsive640&update-time=1466789856391,"Johns Hopkins University is a private institution that was founded in 1876. The school has campuses located in and around Baltimore and the District of Columbia, as well as in Italy and China. The main campus for undergraduates is the Homewood campus in north Baltimore. Most of the university’s schools use a semester-based academic calendar, with some offering an additional, three-week study period in January. English is the language of instruction. Undergraduate students are required to live in university housing for the first two years of their studies. Accommodations are not available for graduate students, with the exception of those enrolled in the school's Peabody Institute, a conservatory.

The university comprises nine academic divisions that offer studies in the arts and sciences, engineering, business, education, medicine, nursing, music, public health and international studies. Some of the most popular majors for undergraduates (at the Homewood campus) are public health studies, international studies and biomedical engineering. Johns Hopkins University’s graduate schools include the highly ranked School of Medicine, School of Nursing and School of Education. The Johns Hopkins Hospital, a teaching hospital, is highly ranked in many specialties. Undergraduate students can get involved in research with support from initiatives such as the Provost’s Undergraduate Research Awards program, which provides financing for students to design and conduct research with the help of a faculty sponsor. Among the institution's research facilities is the Johns Hopkins University Applied Physics Laboratory, an affiliated research center that is a hub for national security- and space-related research.",Baltimore,United States,USA
